Unnamed: 0,BTN1A1,OLAH,LILRB5,CSF1R,CEL,CELP,LALBA,CSN2,LINC02532,LPO,MED15P9,YIF1B,LOC112268261,SMIM33,LOC105375790,IL16,LOC107985488,LOC105378863,LOC105371982,LOC105370705,DDX55,KLRF2,SLC2A10,SIGLEC14,BCDIN3D,SNRPN,CDRT15P3,GLS,HSF2,OR52E5,LOC105377350,LOC105375248,LOC105375924,TTTY7,TTC41P,LINC02914,GIPC3,PTPN22,CPS1,FYTTD1,ASPG,MIR6729,NPY5R,LINCADL,HNRNPUL1,P2RY10,LOC102724851,LRBA,RGS3,TWIST2,EDNRB-AS1,PYY,SYT15B,C2orf15,KPNA3,CST6,TLE1,MIR4426,IL12RB2,ZNF554,SV2B,LOC105369961,TMEM100,PTPN21,SOHLH2,ANO6,LOC107986384,TRQ-TTG4-1,TAT,LOC105371606,LOC105378231,REELD1,ALOX12B,LOC107987361,MED16,SLC41A3-AS1,LOC105371860,LRRFIP2,LOC105376246,MC5R,MIR521-1,LOC105376364,LOC100996664,PRRC2C,LRCOL1,LOC105378816,NCR3,CTSV,LOC107985188,LOC105369682,ZNHIT1,RAB19,LOC107986837,MIR888,MIR3907,LOC107984023,CD81-AS1,ANO9,LOC105369448,NHLRC1,LHCGR,LOC105377073,ZSCAN12,MIR545,TMCC2,FAM87A,CYP4F11,KCND1,LOC105375251,LOC112268209
GSM5016025,13,7,328,1122,27,5,12,0,0,2,3,357,8,0,0,351,0,3,0,2,657,2,1302,41,204,618,7,2965,472,0,0,0,1,0,18,0,73,156,382,2604,13,1,96,282,3872,34,133,3007,623,155,3,2,261,184,1442,21,730,2924,33,239,138,6,242,1052,22,3609,5,0,5318,0,20,8,7,11,298,3,11,1343,0,0,0,0,24,4398,4,6,8,177,9,1,967,38,2,0,0,3,129,159,0,104,38,5,560,0,29,11,40,65,0,0
GSM5016026,12,9,2366,1918,53,13,0,0,6,4,14,307,6,0,2,644,1,7,2,2,1143,0,919,108,162,413,45,5873,464,0,0,6,1,0,38,0,200,306,384,1828,29,1,335,384,3358,21,754,2151,642,119,13,7,498,97,1178,8,1050,904,65,444,226,12,389,1596,27,4284,1,0,613,0,3,18,21,45,315,34,11,1509,0,0,0,0,44,5442,12,10,9,183,15,0,556,33,6,0,0,9,122,591,0,71,303,3,602,2,46,8,197,142,0,1
GSM5016027,145614,17120,293,1009,41921,11269,2333123,1950673,1403,861,0,217,10,0,3,572,0,2,0,0,659,1,452,84,275,442,2,2649,302,0,0,0,3,0,14,0,47,104,161,2091,25,0,30,352,2728,89,131,1625,502,82,0,1,205,57,932,22,2990,1533,44,231,191,2,302,704,36,2489,3,0,31,0,10,27,1,13,178,24,7,1138,0,1,0,0,28,3401,4,5,11,164,7,0,611,12,3,0,0,4,154,131,0,131,19,2,259,0,30,8,140,49,0,0
GSM5016028,6,8,266,887,46,12,1,3,2,4,10,312,5,2,0,525,0,11,0,0,1161,2,628,29,162,495,14,3190,485,0,0,2,7,0,28,0,52,198,396,1543,29,1,34,110,4057,57,771,2352,673,55,6,1,479,95,981,5,1042,714,22,373,89,4,257,1282,17,3074,3,0,255,0,5,42,14,33,492,11,17,1271,0,0,0,0,21,5965,16,4,4,286,16,0,381,40,3,0,1,5,136,894,0,61,13,2,663,0,52,17,189,116,0,1
GSM5016029,69,97,83,603,46,16,338,61,11,21,10,273,2,4,4,351,1,13,1,2,2898,1,1483,65,286,450,14,11463,1184,0,1,2,2,0,62,0,56,540,504,2608,11,1,298,1,4906,36,1823,3414,280,20,29,7,423,278,1650,3,1213,3141,50,1190,28,20,42,2036,14,2509,26,0,454,0,7,221,1,31,220,61,19,1772,0,0,0,0,75,10274,3,22,2,306,31,0,465,45,8,0,1,14,62,1208,0,171,2,1,842,1,22,26,146,81,1,0
GSM5016030,21,17,225,923,51,16,16,1,7,7,11,292,10,2,1,378,0,6,1,4,1125,1,524,63,160,403,40,5053,508,0,0,1,3,0,30,0,56,283,325,1423,15,0,133,107,3430,40,971,1923,505,37,5,4,527,140,852,8,903,1507,35,484,132,10,221,1448,23,2207,11,0,310,0,2,47,5,30,413,38,11,1409,0,0,0,1,45,5675,10,15,3,145,28,1,536,28,5,0,2,9,94,725,0,83,45,3,463,0,28,18,285,101,0,0
GSM5016031,6468,697,139,689,512,117,134791,82163,146,20,2,398,4,0,0,336,0,3,0,2,633,0,818,22,228,558,7,2189,459,0,0,0,0,0,7,0,59,129,534,2776,8,1,106,100,5833,30,166,4460,603,136,2,1,266,182,1266,6,2099,4853,45,286,62,2,112,1070,16,3527,5,0,237,0,2,22,3,15,488,6,8,1378,1,2,0,0,26,6343,3,9,7,167,4,2,925,33,0,0,0,3,165,156,0,171,17,3,465,0,29,18,144,49,0,0
GSM5016032,37,9,620,897,45,12,1100,605,1,0,7,227,3,0,3,611,0,7,0,1,1101,0,402,1,153,442,4,3348,413,0,0,3,4,0,23,0,108,138,436,1799,18,0,222,740,3229,33,636,1295,529,296,5,2,262,88,1134,6,995,1334,28,279,339,9,792,1495,15,7071,3,0,284,1,12,43,6,38,200,15,10,968,0,0,0,0,27,4077,11,4,3,44,16,0,548,13,3,0,0,9,174,242,0,56,492,2,431,0,22,7,65,111,0,1
GSM5016033,5,9,934,964,45,13,0,0,1,0,2,315,42,0,2,1631,0,9,0,4,886,2,509,155,149,360,9,4081,469,0,0,0,4,0,35,0,327,288,531,2256,90,0,589,1312,3660,93,170,1082,2721,489,10,1,232,38,1474,1,1344,953,35,278,448,3,2065,1632,16,11948,1,0,6,0,4,134,1,73,206,7,5,1283,3,14,0,0,31,4061,21,5,41,12,11,0,612,1,6,0,1,13,317,150,0,79,223,14,360,0,82,1,1,84,0,0
GSM5016034,3,9,1590,1803,41,10,0,0,0,1,1,221,6,0,1,803,0,2,0,0,531,0,481,33,94,240,2,2931,295,0,0,6,0,0,19,0,461,48,199,1409,45,1,441,718,3021,17,75,768,1145,552,2,1,409,23,989,0,1070,364,56,156,265,2,1468,1508,6,7372,0,0,10,0,5,47,0,18,253,6,4,868,0,0,0,0,17,2989,8,2,4,4,11,0,546,1,4,0,0,7,245,40,0,43,375,0,263,0,41,5,2,83,0,1
