Sample,condition
GSM5016025,risk category: High
GSM5016026,risk category: High
GSM5016027,risk category: High
GSM5016028,risk category: High
GSM5016029,risk category: Average
GSM5016030,risk category: High
GSM5016031,risk category: High
GSM5016032,risk category: High
GSM5016033,risk category: High
GSM5016034,risk category: Average
GSM5016035,risk category: High
GSM5016036,risk category: Average
GSM5016037,risk category: Average
GSM5016038,risk category: Average
GSM5016039,risk category: Average
GSM5016040,risk category: Average
GSM5016041,risk category: Average
GSM5016042,risk category: High
GSM5016043,risk category: Average
GSM5016044,risk category: High
GSM5016045,risk category: Average
GSM5016046,risk category: High
GSM5016047,risk category: Average
GSM5016048,risk category: Average
GSM5016049,risk category: Average
GSM5016050,risk category: Average
GSM5016051,risk category: Average
GSM5016052,risk category: Average
GSM5016053,risk category: High
GSM5016054,risk category: Average
GSM5016055,risk category: Average
GSM5016056,risk category: Average
GSM5016057,risk category: High
GSM5016058,risk category: High
GSM5016059,risk category: High
GSM5016060,risk category: Average
GSM5016061,risk category: High
GSM5016062,risk category: High
GSM5016063,risk category: Average
GSM5016064,risk category: High
GSM5016065,risk category: Average
GSM5016066,risk category: Average
GSM5016067,risk category: Average
GSM5016068,risk category: Average
GSM5016069,risk category: Average
GSM5016070,risk category: High
GSM5016071,risk category: Average
GSM5016072,risk category: Average
GSM5016073,risk category: High
GSM5016074,risk category: High
GSM5016075,risk category: High
GSM5016076,risk category: Average
GSM5016077,risk category: Average
GSM5016078,risk category: Average
GSM5016079,risk category: High
GSM5016080,risk category: Average
GSM5016081,risk category: Average
GSM5016082,risk category: Average
GSM5016083,risk category: Average
GSM5016084,risk category: Average
GSM5016085,risk category: High
GSM5016086,risk category: Average
GSM5016087,risk category: High
GSM5016088,risk category: Average
GSM5016089,risk category: Average
GSM5016090,risk category: Average
GSM5016091,risk category: Average
GSM5016092,risk category: High
GSM5016093,risk category: Average
GSM5016094,risk category: Average
GSM5016095,risk category: High
GSM5016096,risk category: Average
GSM5016097,risk category: Average
GSM5016098,risk category: Average
GSM5016099,risk category: Average
GSM5016100,risk category: High
GSM5016101,risk category: Average
GSM5016102,risk category: Average
GSM5016103,risk category: Average
GSM5016104,risk category: High
GSM5016105,risk category: High
GSM5016106,risk category: Average
GSM5016107,risk category: High
GSM5016108,risk category: Average
GSM5016109,risk category: Average
GSM5016110,risk category: High
GSM5016111,risk category: Average
GSM5016112,risk category: High
GSM5016113,risk category: Average
GSM5016114,risk category: Average
GSM5016115,risk category: Average
GSM5016116,risk category: High
GSM5016117,risk category: Average
GSM5016118,risk category: Average
GSM5016119,risk category: High
GSM5016120,risk category: Average
GSM5016121,risk category: High
GSM5016122,risk category: High
GSM5016123,risk category: Average
GSM5016124,risk category: Average
GSM5016125,risk category: Average
GSM5016126,risk category: Average
GSM5016127,risk category: Average
GSM5016128,risk category: Average
GSM5016129,risk category: Average
GSM5016130,risk category: Average
GSM5016131,risk category: High
GSM5016132,risk category: Average
GSM5016133,risk category: High
GSM5016134,risk category: Average
GSM5016135,risk category: High
GSM5016136,risk category: High
GSM5016137,risk category: High
GSM5016138,risk category: High
GSM5016139,risk category: High
GSM5016140,risk category: High
GSM5016141,risk category: Average
GSM5016142,risk category: High
GSM5016143,risk category: Average
GSM5016144,risk category: High
GSM5016145,risk category: Average
GSM5016146,risk category: Average
GSM5016147,risk category: Average
GSM5016148,risk category: Average
GSM5016149,risk category: Average
GSM5016150,risk category: Average
GSM5016151,risk category: Average
GSM5016152,risk category: Average
GSM5016153,risk category: Average
GSM5016154,risk category: High
GSM5016155,risk category: High
GSM5016156,risk category: High
GSM5016157,risk category: Average
GSM5016158,risk category: High
GSM5016159,risk category: High
GSM5016160,risk category: High
GSM5016161,risk category: Average
GSM5016162,risk category: Average
GSM5016163,risk category: Average
GSM5016164,risk category: High
GSM5016165,risk category: High
GSM5016166,risk category: Average
GSM5016167,risk category: Average
GSM5016168,risk category: Average
GSM5016169,risk category: High
GSM5016170,risk category: High
GSM5016171,risk category: High
GSM5016172,risk category: Average
GSM5016173,risk category: Average
GSM5016174,risk category: High
GSM5016175,risk category: High
GSM5016176,risk category: Average
GSM5016177,risk category: High
GSM5016178,risk category: High
GSM5016179,risk category: Average
GSM5016180,risk category: Average
GSM5016181,risk category: High
GSM5016182,risk category: High
GSM5016183,risk category: Average
GSM5016184,risk category: Average
GSM5016185,risk category: Average
GSM5016186,risk category: Average
GSM5016187,risk category: High
GSM5016188,risk category: Average
GSM5016189,risk category: Average
GSM5016190,risk category: High
GSM5016191,risk category: Average
GSM5016192,risk category: Average
GSM5016193,risk category: High
GSM5016194,risk category: High
GSM5016195,risk category: Average
GSM5016196,risk category: Average
GSM5016197,risk category: High
GSM5016198,risk category: Average
GSM5016199,risk category: Average
GSM5016200,risk category: Average
GSM5016201,risk category: Average
GSM5016202,risk category: Average
GSM5016203,risk category: High
GSM5016204,risk category: Average
GSM5016205,risk category: Average
GSM5016206,risk category: Average
GSM5016207,risk category: Average
GSM5016208,risk category: High
GSM5016209,risk category: High
GSM5016210,risk category: High
GSM5016211,risk category: High
