Tumor,Fibroblast,T_Cells,Myeloid,Endothelial,B_Cells
ABCA3,ASPN,ADCYAP1,ADGRE2,ABCG2,AIM2
AGER,BGN,ANXA1,AIF1,ADGRL4,BANK1
CLDN1,C1R,AQP3,APOC1,CALD1,BLK
FABP5,C3,B2M,APOE,CLDN5,CCDC50
GPRC5A,C7,CAMK4,AREG,COL6A2,CD22
LAMA3,CALD1,CCL5,AXL,COLEC12,CD24
LMO7,CCDC80,CCR5,BACH1,EMCN,CD37
LPCAT1,CFD,CCR7,BASP1,ENG,CD74
NAPSA,COL1A1,CD160,BATF3,ESM1,CD79A
SFTPA1,COL1A2,CD2,BID,FSTL1,CD79B
SFTPB,COL3A1,CD244,BIRC5,GNG11,CLEC4C
SFTPC,COL6A3,CD27,BLNK,HLA-E,COCH
SFTPD,CPXM1,CD28,C1QA,ID3,CPNE5
SLC34A2,CTHRC1,CD38,C1QB,IFI27,CXCR4
SLPI,DCN,CD3D,CADM1,LEF1,DERL3
